code;gen1;gen2;gen3;gen4;gen5;gen6;gen7;gen8;gen9;gen10;gen11;gen12;gen13;gen14;gen15;gen16;gen17;gen18;gen19;gen20;gen21;gen22;gen23;gen24;gen25;gen26;gen27;altitude;pluvio_yr;forest;pluvio_1;pluvio_2;pluvio_3;pluvio_4;pluvio_5;pluvio_6;pluvio_7;pluvio_8;pluvio_9;pluvio_10;pluvio_11;pluvio_12;geology;evi_1;evi_2;evi_3;evi_4;evi_5;evi_6;evi_7;evi_8;evi_9;evi_10;evi_11;evi_12;evi_13;evi_14;evi_15;evi_16;evi_17;evi_18;evi_19;evi_20;evi_21;evi_22;evi_23;lon;lat;surface
1299;0;0;0;0;0;2;0;55;2;11;16;5;9;0;0;1;0;0;21;2;5;0;0;13;32;1;0;398,6220398;1455;2;73,66666412;74,5;133,8333282;139,3333282;120,5;110,3333359;105,6666641;105,8333359;155,1666718;169,8333282;150;92,16666412;3;0,391087115;0,411265671;0,436560631;0,463584781;0,491132706;0,553887844;0,543894351;0,550864875;0,543103933;0,520292878;0,508637071;0,467231631;0,485167384;0,478850514;0,503938973;0,520519316;0,557684064;0,498908192;0,506745398;0,489985764;0,489788681;0,489938885;0,384009808;16,00565021;1,501415949;5
2644;9;0;3;0;2;2;1;14;1;20;29;5;10;3;0;7;0;0;0;0;5;0;7;5;19;0;2;400,4576416;1461;7;50,66666794;72,83333588;118,5;125;132,5;112,8333359;134,1666718;136,6666718;157;175;99,83333588;58,33333206;6;0,337896586;0,381662339;0,389926761;0,446248561;0,493188709;0,500892043;0,507374287;0,523753226;0,515115261;0,497806579;0,480799049;0,433536649;0,461047858;0,441029608;0,458465815;0,449300885;0,463382065;0,455308795;0,460386545;0,453353196;0,437796593;0,439491689;0,343510807;17,01766381;2,625875505;15
1838;9;0;0;0;1;0;3;0;4;63;30;20;13;3;7;0;0;0;0;4;5;0;0;1;3;21;7;362,2293701;1447;5;72,00701904;77,60525513;147,5456085;144,0175476;133,7982483;104,957901;110,3298264;104,8368454;151,8578796;158,3087769;144,1842194;86,1842041;6;0,361080527;0,375120908;0,424158663;0,461037725;0,487294316;0,504689872;0,507065475;0,510110855;0,511315048;0,500152648;0,454019576;0,436607182;0,440245837;0,443794817;0,467316002;0,472945124;0,513755143;0,497635484;0,479528606;0,498268217;0,477357686;0,448227108;0,398150295;16,45543403;1,426451979;17,5
534;0;4;0;0;9;1;11;19;0;5;24;38;17;0;0;0;14;1;108;3;6;0;6;14;34;87;30;600,8876343;1401,222168;1;22,5343647;61,78348541;118,2560349;138,0808105;154,5223999;149,6374664;154,4656372;151,3883514;169,9227142;171,9880371;83,42269897;24,58421135;5;0,388948917;0,408894837;0,433823198;0,48999545;0,488012821;0,528381646;0,555078626;0,545524597;0,553631306;0,526912808;0,533833563;0,516719163;0,519764602;0,507335067;0,481137455;0,51350683;0,492184818;0,515405119;0,474853188;0,509785056;0,446307749;0,437621385;0,401296318;15,29349249;3,862781017;20,5
3213;1;1;0;0;0;0;4;5;1;5;15;23;4;6;0;5;4;0;7;2;0;0;3;7;5;18;8;375,8279114;1403,333374;1;50,89445877;77,60382843;106,0520172;123,1537552;113,6365128;127,2843933;133,5442963;147,4994354;150,2611389;164,740387;102,78228;43,30624771;6;0,35280171;0,393992245;0,390900046;0,473861843;0,488171369;0,478372693;0,541531444;0,55634445;0,532309055;0,528636396;0,492369145;0,472948402;0,477233678;0,441865176;0,502146304;0,513436258;0,513906002;0,501724422;0,498798072;0,489222735;0,451065064;0,41740489;0,379861504;17,5424116;2,775803446;10,5
1861;19;3;1;11;0;1;0;33;4;13;63;2;76;14;3;36;0;0;3;0;11;2;18;48;130;1;0;611,9286499;1540,333374;7;27,20527458;47,30747986;138,4563599;136,54216;146,0544128;155,2628937;154,4674988;183,2274017;181,4293365;223,466156;91,84208679;28,20408821;3;0,350994259;0,366048098;0,405155778;0,446710259;0,480343998;0,506208897;0,486187547;0,526859164;0,48002255;0,469458193;0,484290004;0,473183394;0,481802911;0,44388777;0,4317379;0,468076676;0,536279321;0,494964689;0,412709117;0,434113562;0,40978992;0,378438026;0,361347973;16,45543403;3,637889106;20
3445;1;4;0;0;2;0;0;12;0;11;10;3;2;0;0;2;2;0;37;0;1;1;3;16;8;9;20;451,0065308;1440,111084;1;45,1143837;61,38669586;104,526001;122,5704346;110,1925583;166,6328735;160,9961243;161,5888062;154,4488678;163,5317383;101,3005829;32,41051865;3;0,378117949;0,390283406;0,383989722;0,431417882;0,455297738;0,500459611;0,509157479;0,542037487;0,497639149;0,544842541;0,481984019;0,466079205;0,485769093;0,4779208;0,516683102;0,518524468;0,5299263;0,539329112;0,512895644;0,49165237;0,448253632;0,448802233;0,385724992;17,87974947;3,45047918;5
865;4;0;0;0;0;1;0;1;0;38;9;0;6;9;0;0;1;0;0;2;3;0;0;0;0;0;0;381,1873779;1401,629639;2;84,91944122;99,10511017;129,7148285;141,1611786;120,1875916;85,27607727;62,01660538;77,67953491;137,3058167;185,8951874;170,5816498;87,84654999;3;0,38679418;0,423471302;0,424817264;0,468547374;0,475233406;0,501513481;0,521753013;0,538736522;0,51208216;0,521321416;0,495706648;0,456610292;0,455507815;0,467536062;0,454795212;0,518574536;0,552702427;0,553706288;0,51116699;0,484579861;0,510522008;0,503181696;0,385275364;15,63083036;0,63933029;5
3644;3;0;2;0;0;1;1;2;1;17;17;11;12;1;1;1;4;0;8;2;3;0;2;5;6;13;1;387,1296692;1465;1;42,20840073;62,18325424;131,6163788;132,5500183;109,3125992;150,0585785;146,3250427;146,9043579;155,4665527;158,2042542;101,108345;42,52488327;2;0,343353301;0,367041856;0,422458738;0,450413048;0,475649357;0,47880441;0,498906404;0,534026086;0,494160086;0,514468014;0,471585393;0,444624484;0,488738239;0,458280265;0,510141075;0,541891396;0,490416318;0,519223213;0,46948719;0,47806555;0,471183658;0,462033868;0,378302842;18,40449726;3,338033224;6
561;0;0;0;0;0;1;0;0;0;9;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;472,0189209;1442;2;90,56841278;98,00496674;125,3830872;150,8756256;130,4017334;93,88308716;53,88308334;60,85198975;144,1480103;207,5970001;170,2835693;98,61566925;3;0,395769179;0,439495087;0,465182245;0,500780165;0,492116392;0,520689666;0,542269528;0,551890612;0,526212812;0,533396006;0,533287168;0,475553602;0,492571116;0,51925683;0,510531545;0,541914761;0,588610649;0,571826398;0,516708076;0,517201185;0,496141911;0,48592779;0,426143855;15,36845646;0,564366319;5,5
